V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
401791,0,40,4,(3) 3. Independent,4,13,12,50,50
401792,70,0,2,(1) 1. Democrat,1,13,27,60,30
401793,0,100,7,(2) 2. Republican,6,9,21,0,100
401795,50,50,4,(3) 3. Independent,5,10,9,50,50
401797,1,84,7,(2) 2. Republican,6,10,11,0,61
401798,15,60,7,(2) 2. Republican,6,14,20,15,60
401802,50,53,4,(3) 3. Independent,,16,17,51,49
401804,85,0,1,(1) 1. Democrat,4,10,6,100,15
401807,0,60,6,(2) 2. Republican,6,16,21,0,50
401808,0,70,7,(2) 2. Republican,5,15,28,0,70
401811,41,58,6,(2) 2. Republican,4,13,,46,60
401812,69,1,1,(1) 1. Democrat,2,15,25,77,10
401815,85,0,1,(1) 1. Democrat,3,10,13,60,30
401821,0,85,7,(2) 2. Republican,6,9,20,15,85
401824,62,32,2,(1) 1. Democrat,4,13,28,70,15
401828,0,100,7,(2) 2. Republican,6,14,17,0,100
401829,15,85,5,(3) 3. Independent,6,14,7,50,85
401830,32,1,1,(1) 1. Democrat,1,14,26,16,1
401832,86,1,1,(1) 1. Democrat,4,9,2,84,1
401833,70,0,1,(1) 1. Democrat,4,10,8,70,30
401835,60,60,6,(2) 2. Republican,4,8,1,60,60
401836,85,50,1,(1) 1. Democrat,,13,5,70,70
401839,90,17,1,(1) 1. Democrat,NA,10,11,99,40
401841,100,0,1,(1) 1. Democrat,NA,9,11,100,0
401849,69,0,1,(1) 1. Democrat,4,10,24,60,30
401850,100,0,1,(1) 1. Democrat,2,12,5,99,0
401852,15,60,4,(3) 3. Independent,5,10,17,30,60
401854,0,100,4,(3) 3. Independent,NA,9,11,,
401856,30,0,3,(3) 3. Independent,4,15,28,15,15
401858,71,1,2,(1) 1. Democrat,2,14,7,71,1
401859,84,1,1,(1) 1. Democrat,,13,7,70,15
401860,50,0,2,(1) 1. Democrat,4,9,17,60,40
401861,100,0,1,(1) 1. Democrat,,10,26,85,40
401862,70,0,5,(5) 5. Other party SPECIFY,NA,10,27,50,15
401867,33,0,7,(2) 2. Republican,5,13,25,14,28
401872,85,10,1,(1) 1. Democrat,1,10,4,87,10
401874,72,3,2,(1) 1. Democrat,4,16,,56,17
401875,0,85,5,(3) 3. Independent,,9,17,0,60
401876,85,30,3,(3) 3. Independent,4,10,11,85,30
401883,15,70,7,(2) 2. Republican,6,10,24,15,85
401887,70,5,1,(1) 1. Democrat,2,14,26,70,15
401889,30,70,4,(3) 3. Independent,NA,9,1,60,60
401891,60,15,3,(3) 3. Independent,,9,11,85,40
401895,40,15,3,(3) 3. Independent,3,13,10,30,15
401902,8,62,6,(2) 2. Republican,5,13,28,17,41
401903,85,40,4,(3) 3. Independent,4,12,8,70,60
